case_id,decision_id,runtime_bag_id,task_id,segment_id,event_time,scenario,scenario_observed,scale,source_node,goal_node,junction_node,fault_bucket,reason_bucket,tail_bucket,why_hard,candidate_next_nodes,candidate_records,candidate_order_digest,model_prediction,model_score_semantics,model_margin,risk_gate_triggered,fallback_selected_next,selected_next,model_fallback_disagreement,decision_source,rule_reason,local_snapshot,short_history,full_astar_used,original_arrival_time,java_arrival_epoch,release_time,source_queue_delay_seconds,outcome_ref,stratum_id,stratum_total_count_before_dedupe,stratum_unique_total_count,stratum_quota,total_count,unique_total_count,quota,sample_weight,deterministic_repeat_count,semantic_fingerprint
g4irsf11-0f0c992de56692c5839b,trace_highflow_2p5:7477:2329,241,7477,7477:direct:g4irsf11_c1:trace_highflow_2p5,26580.22667870077,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":26580.22667870077,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":26696.22667870077,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",f91f2975b977de5cd9cd88bdabe9bc6ab0de5d4ca2162336c01e20b15b4cf56f,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":26464.22767870077}","[24,27,28,29,30,31,32,37]",false,26367.328818822683,26367,26367.328818822683,0.32881882268338813,trace_highflow_2p5:7477:2329,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,0f0c992de56692c5839b0d31d7cfb0c364bc725e279832c748542654891ba9a0
g4irsf11-1bd6374ee9b368a284e4,trace_highflow_2p5:13264:4501,449,13264,13264:direct:g4irsf11_c0:trace_highflow_2p5,40328.5396528724,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":40328.5396528724,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":40444.5396528724,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",fcad6d6d2e769ca3464a310fcec29885e61b3900b0c8ed0b6ff24d2d406f2eca,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":7,""message_age_seconds"":0.0,""next_available_time"":40212.5406528724}","[24,27,28,29,30,31,32,37]",false,39842.4318374821,39842,39842.4318374821,0.4318374821014004,trace_highflow_2p5:13264:4501,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,1bd6374ee9b368a284e40ef37ca39c0ab6f51e1de1fe8e7f87d248f6fc95d282
g4irsf11-35fef4cd8aeec9529ba4,trace_highflow_2p5:7564:2348,248,7564,7564:direct:g4irsf11_c0:trace_highflow_2p5,26696.22667870077,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":26696.22667870077,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":26812.22667870077,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",7ccdd447bd71c9f60ef6c69f6cf08fd9183f0d3a41fa0c3f966a34ec85c0cdf0,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":26580.22767870077}","[24,27,28,29,30,31,32,37]",false,26513.805362790365,26513,26513.805362790365,0.8053627903645975,trace_highflow_2p5:7564:2348,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,35fef4cd8aeec9529ba4d97596185843c4030deb70f66ff796cc03b67282ff7d
g4irsf11-52adb9188bd4caf9386c,trace_highflow_2p5:17025:5711,594,17025,17025:direct:g4irsf11_c1:trace_highflow_2p5,49993.421474663315,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":49993.421474663315,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":50109.421474663315,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",da9a026b66318c2659ff6a1ba87c1923b3ab1af5259cc7968475e3436a420508,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":49877.42247466331}","[24,27,28,29,30,31,32,37]",false,49715.70457149161,49715,49715.70457149161,0.7045714916093857,trace_highflow_2p5:17025:5711,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,52adb9188bd4caf9386c94f429bc2b383408a069e7de87c725c6f6482b5bef65
g4irsf11-5f301b2ef99590c25a81,trace_highflow_2p5:24917:8358,877,24917,24917:direct:g4irsf11_c0:trace_highflow_2p5,68409.5378529093,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":68409.5378529093,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":68525.5378529093,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",3a55facae3fde52f59aea60c1b2227b6cfd23d2e03db4ffd33baa9a7faf64d56,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":68293.5388529093}","[24,27,28,29,30,31,32,37]",false,67890.83559299025,67890,67890.83559299025,0.8355929902463686,trace_highflow_2p5:24917:8358,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,5f301b2ef99590c25a812b36de78dcbfee7956a2b6a5034ef04523055d2bb16e
g4irsf11-86ad26d7cf8c879745d2,trace_highflow_2p5:24505:8123,858,24505,24505:direct:g4irsf11_c1:trace_highflow_2p5,67349.02675052696,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":67349.02675052696,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":67465.02675052696,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",e0d015655a38eeb839ef0069fc7b108b37c00dc6c2da863f6d8b3e3dbe737876,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":67233.02775052696}","[24,27,28,29,30,31,32,37]",false,67180.00686198716,67180,67180.00686198716,0.006861987159936689,trace_highflow_2p5:24505:8123,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,86ad26d7cf8c879745d24f62f9ed9ce98690ac18c58540698c71dffdd4f64bdd
g4irsf11-86f0b0e5609a30764092,trace_highflow_2p5:6174:1775,191,6174,6174:direct:g4irsf11_c2:trace_highflow_2p5,24914.630161297537,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":24914.630161297537,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":25030.630161297537,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",6aa16f1f3fd957526c9f71e93c283ee5538065766dd0c13b61c6621b537ac3b0,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":24798.631161297537}","[24,27,28,29,30,31,32,37]",false,24706.872043152347,24706,24706.872043152347,0.8720431523470324,trace_highflow_2p5:6174:1775,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,86f0b0e5609a307640920e6eecc0c65f2194190e649d2391602248e82496ccd8
g4irsf11-a417103a21b38a6e148f,trace_highflow_2p5:7308:2228,237,7308,7308:direct:g4irsf11_c0:trace_highflow_2p5,26348.22667870077,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":26348.22667870077,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":26464.22667870077,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",a0d0f954831c5d5a415b9bc421ede2a252e01b75d1fff0e112d2755b0b11f021,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":26232.22767870077}","[24,27,28,29,30,31,32,37]",false,26180.774037806506,26180,26180.774037806506,0.7740378065063851,trace_highflow_2p5:7308:2228,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,a417103a21b38a6e148fadab459eb5c56ff1876968ee9103ec82a4c80eae8cad
g4irsf11-d7d876e635e36086866b,trace_highflow_2p5:7725:2627,257,7725,7725:direct:g4irsf11_c1:trace_highflow_2p5,27624.22667870077,trace_highflow_2p5,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,"[""downstream_pressure"",""local_queue_pressure""]",[49],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":27624.22667870077,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":0.0,""target_next_available"":27740.22667870077,""target_queue_length"":0,""target_scheduled_incoming"":1,""travel_time"":116.0,""two_hop_queue_pressure"":0},""model_score"":118.0,""next_node"":49,""shield_allowed"":true,""shield_reason"":""allowed""}]",00168c87d40d3c98e995893574514430d85f64125ea1e592ce7254ca81069699,49,lower_is_better_cost,999.0,false,,49,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":1.0,""faulted_outgoing_count"":0,""junction_queue_length"":2,""message_age_seconds"":0.0,""next_available_time"":27508.22767870077}","[24,27,28,29,30,31,32,37]",false,26829.493887100343,26829,26829.493887100343,0.4938871003432723,trace_highflow_2p5:7725:2627,00a71a6faf141ee83aaa,9,9,9,9,9,9,1.0,1,d7d876e635e36086866b7306bf68c9fb303ec03add41e465bb18db2aab84ebd9
g4irsf11-c468972d64069336acd5,trace_highflow_4p0:7064:2150,222,7064,7064:direct:g4irsf11_c3:trace_highflow_4p0,25869.106592548476,trace_highflow_4p0,trace_highflow_4p0,4.0,0,50,40,no_fault,p95_tail,p95_tail,"[""p95_tail""]",[41],"[{""features"":{""advertised_fault"":false,""corridor_next_available"":25869.106592548476,""fault_message_age_seconds"":0.0,""recent_visit_count"":0,""static_potential"":51.6,""target_next_available"":25870.706592548475,""target_queue_length"":0,""target_scheduled_incoming"":0,""travel_time"":1.6,""two_hop_queue_pressure"":11},""model_score"":53.2,""next_node"":41,""shield_allowed"":true,""shield_reason"":""allowed""}]",adef30f74cea2ec8d8e457d5b1adae701e6307c4b75e6a18d448e3762de59b54,41,lower_is_better_cost,999.0,false,,41,false,local_static_potential,predicted_candidate_allowed,"{""downstream_pressure"":0.0,""faulted_outgoing_count"":0,""junction_queue_length"":1,""message_age_seconds"":0.0,""next_available_time"":25813.086900506598}","[8,11,14,46,36,38,39,40]",false,25794.90559254848,25794,25794.90559254848,0.905592548479035,trace_highflow_4p0:7064:2150,00b0894cb08e1d74d66a,1,1,1,1,1,1,1.0,1,c468972d64069336acd56fa6a9b7742908d1f14b8b79140152c9d774cbc3c507
