baseline_mean,bootstrap_ci_high,bootstrap_ci_low,comparison,load_factor,map,mean_delta_reference_minus_baseline,metric,missing_seed_count,paired_seed_count,preferred_direction,reference,reference_loss_count,reference_mean,reference_win_count,runtime_comparison,status,tie_count
28506.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,completed_raw_bag_count,0,10,higher,G31_S4_NATIVE_SYSTEM,0,28506.0,0,FENG_NATIVE_HCA,COMPLETE,10
1.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,completion_rate,0,10,higher,G31_S4_NATIVE_SYSTEM,0,1.0,0,FENG_NATIVE_HCA,COMPLETE,10
0.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,missed_bag_count,0,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,FENG_NATIVE_HCA,COMPLETE,10
0.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,missed_bag_rate,0,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,FENG_NATIVE_HCA,COMPLETE,10
5901989.4,82715.70675917444,77436.10713404417,FENG_NATIVE_HCA,1.0,map2,80208.10554104745,network_backlog_area_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,10,5982197.505541047,0,FENG_NATIVE_HCA,COMPLETE,0
1.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,on_time_rate,0,10,higher,G31_S4_NATIVE_SYSTEM,0,1.0,0,FENG_NATIVE_HCA,COMPLETE,10
28506.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,on_time_raw_bag_count,0,10,higher,G31_S4_NATIVE_SYSTEM,0,28506.0,0,FENG_NATIVE_HCA,COMPLETE,10
358.7,174.82252447499346,160.10392852499422,FENG_NATIVE_HCA,1.0,map2,167.39945799999367,population_latency_max_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,10,526.0994579999937,0,FENG_NATIVE_HCA,COMPLETE,0
237.0408089525012,0.1961131886013771,0.013827663881861487,FENG_NATIVE_HCA,1.0,map2,0.11060671642623561,population_latency_mean_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,7,237.15141566892748,3,FENG_NATIVE_HCA,COMPLETE,0
299.2,40.02356979374979,39.00217446874543,FENG_NATIVE_HCA,1.0,map2,39.526358499995055,population_latency_p95_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,10,338.72635849999506,0,FENG_NATIVE_HCA,COMPLETE,0
330.7,71.42131976374398,69.51754814374405,FENG_NATIVE_HCA,1.0,map2,70.4638320999939,population_latency_p99_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,10,401.1638320999939,0,FENG_NATIVE_HCA,COMPLETE,0
66869836.914530315,-2676455.8996178084,-2745202.3294491153,FENG_NATIVE_HCA,1.0,map2,-2709482.2832263336,source_backlog_area_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,0,64160354.63130398,10,FENG_NATIVE_HCA,COMPLETE,0
0.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,tardiness_max_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,FENG_NATIVE_HCA,COMPLETE,10
0.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,tardiness_mean_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,FENG_NATIVE_HCA,COMPLETE,10
0.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,tardiness_p95_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,FENG_NATIVE_HCA,COMPLETE,10
0.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,tardiness_p99_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,FENG_NATIVE_HCA,COMPLETE,10
0.0,0.0,0.0,FENG_NATIVE_HCA,1.0,map2,0.0,tardiness_sum_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,FENG_NATIVE_HCA,COMPLETE,10
62964.054547,-91.68524032497986,-96.60226099997817,FENG_NATIVE_HCA,1.0,map2,-94.21266199997771,time_to_90_percent_seconds,0,10,lower,G31_S4_NATIVE_SYSTEM,0,62869.84188500002,10,FENG_NATIVE_HCA,COMPLETE,0
